Number,Type,country,name,routes,Year,L(m),,,
117,14 m yacht,United States,Geraldine,West 3,2008,14,,117,TRUE
118,23Â·7 m yacht,France,Southern Star,West 4,2008,23,,118,TRUE
119,10Â·4 m yacht,NewZealand,Tyhina,West 4,2008,10,,119,TRUE
120,67 m motor vessel,Canada,Apoise,West 4,2009,67,,120,TRUE
121,17Â·4 m motorboat,United States,Bagan,West 4,2009,17,,121,TRUE
122,ice-strengthened ship,Bahamas,Bremen6,West 4,2009,111.51,,122,TRUE
123,14Â·9 m yacht,Belgium,Baloum Gwen2,East  6,2009,14,,123,TRUE
124,20 m yacht,France,Fleur Australe,West 4,2009,20,,124,TRUE
125,12Â·8 m yacht,United States,Fiona,West 4,2009,12,,125,TRUE
126,15Â·3 m yacht,France,Glory of the Sea,West 4,2009,15,,126,TRUE
127,ice-strengthened ship,Bahamas,Hanseatic8,East  4,2009,122,,127,TRUE
128,19Â·2 m yacht,United States,Ocean Watch,East  6,2009,19,,128,TRUE
129,14Â·6 m yacht,Germany,Perithia,West 4,2009,14,,129,TRUE
130,14Â·6 m motorboat,Britain,Polar Bound2,West 5,2009,14,,130,TRUE
131,9Â·1 m yacht,United States,Precipice,West 6,2009,9,,131,TRUE
132,12Â·2 m yacht,Canada,Silent Sound,East  6,2009,12,,132,TRUE
133,15Â·2 m sloop,Sweden,Ariel IV,West 4,2010,15,,133,TRUE
134,12Â·5 m yacht,NewZealand,Astral Express,West 3,2010,12,,134,TRUE
135,46 m motor yacht,Cayman,Dione Sky2,West 2,2010,46,,135,TRUE
136,48 m motor yacht,Antigua,Hanse Explorer1,West 3,2010,48,,136,TRUE
137,ice-strengthened ship,Bahamas,Hanseatic9,West 4,2010,122,,137,TRUE
138,icebreaker,Russia,Kapitan Khlebnikov17,East  5,2010,122,,138,TRUE
139,128 m motor yacht,Cayman,Octopus1,West 2,2010,128,,139,TRUE
140,11 m yacht,Norway,Rx II,East  4,2010,11,,140,TRUE
141,15Â·2 m yacht,Finland,Sarema,East  4,2010,15,,141,TRUE
